order_id,customer_id,customer_name,city,state,product_id,product_name,category,quantity,unit_price,total_amount,order_date,status
1,369,Customer 369,Rio de Janeiro,PR,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-07-13,completed
2,426,Customer 426,São Paulo,DF,6,Mouse Wireless,Accessories,3,180.0,540.0,2026-08-09,completed
3,400,Customer 400,Niterói,RS,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-03-06,completed
4,192,Customer 192,Porto Alegre,BA,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-07-20,completed
5,37,Customer 37,Salvador,PR,9,SSD 1TB,Storage,3,700.0,2100.0,2026-01-14,cancelled
6,39,Customer 39,Niterói,PR,3,Monitor 24,Monitors,2,1200.0,2400.0,2026-01-14,completed
7,87,Customer 87,Rio de Janeiro,RS,8,Webcam HD,Accessories,1,350.0,350.0,2026-04-27,completed
8,452,Customer 452,Brasília,MG,1,Notebook Pro,Computers,2,5500.0,11000.0,2026-06-27,cancelled
9,429,Customer 429,Rio de Janeiro,MG,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-06-18,completed
10,120,Customer 120,Rio de Janeiro,RJ,7,Headset Pro,Accessories,2,650.0,1300.0,2026-02-06,completed
11,183,Customer 183,Belo Horizonte,DF,6,Mouse Wireless,Accessories,4,180.0,720.0,2026-05-02,completed
12,225,Customer 225,Porto Alegre,BA,8,Webcam HD,Accessories,1,350.0,350.0,2026-08-26,completed
13,344,Customer 344,Curitiba,RJ,2,Notebook Air,Computers,2,3800.0,7600.0,2026-07-04,cancelled
14,463,Customer 463,Porto Alegre,BA,7,Headset Pro,Accessories,1,650.0,650.0,2026-04-03,completed
15,105,Customer 105,Salvador,BA,8,Webcam HD,Accessories,2,350.0,700.0,2026-06-11,completed
16,356,Customer 356,Brasília,BA,2,Notebook Air,Computers,1,3800.0,3800.0,2026-02-09,cancelled
17,495,Customer 495,Niterói,PR,10,USB Hub,Accessories,2,150.0,300.0,2026-08-08,completed
18,401,Customer 401,Brasília,RJ,10,USB Hub,Accessories,2,150.0,300.0,2026-07-20,completed
19,225,Customer 225,Porto Alegre,BA,9,SSD 1TB,Storage,1,700.0,700.0,2026-05-01,completed
20,418,Customer 418,Rio de Janeiro,BA,8,Webcam HD,Accessories,1,350.0,350.0,2026-01-20,completed
21,235,Customer 235,Belo Horizonte,SP,10,USB Hub,Accessories,1,150.0,150.0,2026-04-25,completed
22,123,Customer 123,Porto Alegre,SP,10,USB Hub,Accessories,4,150.0,600.0,2026-02-13,completed
23,117,Customer 117,Rio de Janeiro,SP,2,Notebook Air,Computers,1,3800.0,3800.0,2026-06-01,completed
24,498,Customer 498,Niterói,MG,6,Mouse Wireless,Accessories,3,180.0,540.0,2026-04-28,completed
25,43,Customer 43,Porto Alegre,SP,3,Monitor 24,Monitors,1,1200.0,1200.0,2026-01-04,cancelled
26,428,Customer 428,Salvador,MG,7,Headset Pro,Accessories,2,650.0,1300.0,2026-07-21,completed
27,336,Customer 336,Salvador,BA,8,Webcam HD,Accessories,3,350.0,1050.0,2026-04-08,completed
28,363,Customer 363,São Paulo,RJ,4,Monitor 27,Monitors,3,1800.0,5400.0,2026-01-14,completed
29,170,Customer 170,Rio de Janeiro,RJ,10,USB Hub,Accessories,3,150.0,450.0,2026-07-30,completed
30,266,Customer 266,Curitiba,BA,8,Webcam HD,Accessories,2,350.0,700.0,2026-04-26,cancelled
31,253,Customer 253,São Paulo,RJ,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-03-30,completed
32,61,Customer 61,Brasília,PR,9,SSD 1TB,Storage,1,700.0,700.0,2026-05-21,completed
33,250,Customer 250,Rio de Janeiro,SP,9,SSD 1TB,Storage,2,700.0,1400.0,2026-05-20,completed
34,11,Customer 11,Curitiba,DF,4,Monitor 27,Monitors,4,1800.0,7200.0,2026-01-26,cancelled
35,316,Customer 316,Porto Alegre,BA,4,Monitor 27,Monitors,1,1800.0,1800.0,2026-05-31,completed
36,159,Customer 159,Curitiba,RJ,2,Notebook Air,Computers,1,3800.0,3800.0,2026-03-22,completed
37,464,Customer 464,Belo Horizonte,SP,7,Headset Pro,Accessories,2,650.0,1300.0,2026-05-26,completed
38,72,Customer 72,São Paulo,MG,6,Mouse Wireless,Accessories,2,180.0,360.0,2026-03-15,completed
39,140,Customer 140,Belo Horizonte,DF,2,Notebook Air,Computers,2,3800.0,7600.0,2026-04-10,completed
40,357,Customer 357,São Paulo,SP,10,USB Hub,Accessories,3,150.0,450.0,2026-06-01,completed
41,239,Customer 239,Niterói,BA,10,USB Hub,Accessories,3,150.0,450.0,2026-07-30,completed
42,258,Customer 258,Rio de Janeiro,MG,8,Webcam HD,Accessories,1,350.0,350.0,2026-08-04,cancelled
43,392,Customer 392,São Paulo,RS,5,Keyboard Mechanical,Accessories,4,450.0,1800.0,2026-05-29,completed
44,254,Customer 254,Niterói,DF,8,Webcam HD,Accessories,3,350.0,1050.0,2026-01-28,completed
45,277,Customer 277,Belo Horizonte,MG,10,USB Hub,Accessories,2,150.0,300.0,2026-06-05,completed
46,54,Customer 54,Belo Horizonte,MG,10,USB Hub,Accessories,1,150.0,150.0,2026-08-20,completed
47,367,Customer 367,Belo Horizonte,BA,10,USB Hub,Accessories,3,150.0,450.0,2026-07-16,completed
48,3,Customer 3,Porto Alegre,DF,2,Notebook Air,Computers,1,3800.0,3800.0,2026-03-24,completed
49,389,Customer 389,Brasília,RJ,10,USB Hub,Accessories,2,150.0,300.0,2026-05-02,cancelled
50,430,Customer 430,Porto Alegre,RS,5,Keyboard Mechanical,Accessories,1,450.0,450.0,2026-08-24,cancelled
